"id","publication_year","type","cited_by_count","is_oa","oa_status"
"https://openalex.org/W2176635133",2015,"article",311,TRUE,"hybrid"
"https://openalex.org/W2226732401",2016,"article",311,TRUE,"bronze"
"https://openalex.org/W2593261701",2017,"article",309,FALSE,"closed"
"https://openalex.org/W2612974840",2017,"article",308,TRUE,"green"
"https://openalex.org/W2801828415",2018,"article",308,TRUE,"bronze"
"https://openalex.org/W2231005101",2015,"article",306,TRUE,"bronze"
"https://openalex.org/W2808355995",2018,"article",306,TRUE,"green"
"https://openalex.org/W2748659697",2017,"article",305,TRUE,"bronze"
"https://openalex.org/W2485777128",2015,"book",303,FALSE,"closed"
"https://openalex.org/W2566514911",2017,"article",303,TRUE,"gold"
"https://openalex.org/W2999294700",2020,"article",303,TRUE,"gold"
"https://openalex.org/W3015123576",2020,"article",303,TRUE,"green"
"https://openalex.org/W3037880470",2020,"article",303,TRUE,"hybrid"
"https://openalex.org/W3087029794",2020,"article",301,TRUE,"gold"
"https://openalex.org/W2972268941",2019,"article",300,FALSE,"closed"
"https://openalex.org/W2613639288",2017,"article",297,TRUE,"gold"
"https://openalex.org/W2801806204",2018,"article",296,FALSE,"closed"
"https://openalex.org/W3020718800",2020,"article",296,FALSE,"closed"
"https://openalex.org/W2100692150",2015,"article",293,FALSE,"closed"
"https://openalex.org/W2528191425",2016,"article",292,TRUE,"bronze"
"https://openalex.org/W2488000435",2016,"article",291,FALSE,"closed"
"https://openalex.org/W2603642366",2017,"article",291,FALSE,"closed"
"https://openalex.org/W3176930333",2021,"article",291,TRUE,"green"
"https://openalex.org/W2551666886",2016,"article",290,TRUE,"green"
"https://openalex.org/W2911698221",2019,"article",290,FALSE,"closed"
"https://openalex.org/W4280522431",2022,"article",290,TRUE,"hybrid"
"https://openalex.org/W2967441299",2019,"article",289,FALSE,"closed"
"https://openalex.org/W2605698336",2017,"article",288,FALSE,"closed"
"https://openalex.org/W2901345268",2018,"article",288,FALSE,"closed"
"https://openalex.org/W4211150332",2020,"article",287,TRUE,"green"
"https://openalex.org/W2557492879",2016,"article",286,TRUE,"bronze"
"https://openalex.org/W2900394813",2018,"book-chapter",286,FALSE,"closed"
"https://openalex.org/W3208441607",2021,"article",284,TRUE,"hybrid"
"https://openalex.org/W2122262332",2015,"article",282,TRUE,"green"
"https://openalex.org/W2790160881",2018,"article",282,FALSE,"closed"
"https://openalex.org/W2946128850",2019,"article",282,TRUE,"bronze"
"https://openalex.org/W3121901985",2021,"article",282,TRUE,"gold"
