"year","oa_type","value","pc"
2013,"bronze",10,0.065483596359112
2013,"closed",172,1.12631785737673
2013,"gold",78,0.510772051601074
2013,"hybrid",37,0.242289306528715
2013,"green",9,0.0589352367232008
2013,"bronze",5,0.032741798179556
2013,"closed",67,0.438740095606051
2013,"gold",21,0.137515552354135
2013,"hybrid",11,0.0720319559950232
2013,"green",7,0.0458385174513784
2013,"bronze",6,0.0392901578154672
2013,"closed",0,0
2013,"gold",0,0
2013,"hybrid",0,0
2013,"green",0,0
2013,"bronze",0,0
2013,"closed",35,0.229192587256892
2013,"gold",12,0.0785803156309345
2013,"hybrid",6,0.0392901578154672
2013,"green",4,0.0261934385436448
2013,"bronze",0,0
2013,"closed",17,0.11132211381049
2013,"gold",6,0.0392901578154672
2013,"hybrid",3,0.0196450789077336
2013,"green",2,0.0130967192718224
2013,"bronze",1,0.0065483596359112
2014,"closed",2869,18.2181864363729
2014,"gold",500,3.1750063500127
2014,"hybrid",488,3.0988061976124
2014,"green",384,2.43840487680975
2014,"bronze",169,1.07315214630429
2014,"closed",538,3.41630683261367
2014,"gold",132,0.838201676403353
2014,"hybrid",101,0.641351282702565
2014,"green",80,0.508001016002032
2014,"bronze",25,0.158750317500635
2014,"closed",575,3.65125730251461
2014,"gold",162,1.02870205740411
2014,"hybrid",99,0.628651257302515
2014,"green",62,0.393700787401575
2014,"bronze",20,0.127000254000508
2014,"closed",1034,6.56591313182626
2014,"gold",172,1.09220218440437
2014,"hybrid",151,0.958851917703835
2014,"green",134,0.850901701803404
2014,"bronze",66,0.419100838201676
2014,"closed",1073,6.81356362712725
2014,"gold",153,0.971551943103886
2014,"hybrid",144,0.914401828803658
2014,"green",105,0.666751333502667
2014,"bronze",27,0.171450342900686
2014,"closed",911,5.78486156972314
2014,"gold",172,1.09220218440437
2014,"hybrid",152,0.965201930403861
2014,"green",109,0.692151384302769
2014,"bronze",53,0.336550673101346
2014,"closed",215,1.36525273050546
2014,"gold",63,0.4000508001016
2014,"hybrid",36,0.228600457200914
2014,"green",25,0.158750317500635
2014,"bronze",14,0.0889001778003556
2014,"closed",1770,11.239522479045
2014,"gold",391,2.48285496570993
2014,"hybrid",388,2.46380492760986
2014,"green",221,1.40335280670561
2014,"bronze",127,0.806451612903226
2014,"closed",218,1.38430276860554
2014,"gold",76,0.48260096520193
2014,"hybrid",50,0.31750063500127
2014,"green",23,0.146050292100584
2014,"bronze",22,0.139700279400559
2014,"closed",51,0.323850647701295
2014,"gold",12,0.0762001524003048
2014,"hybrid",10,0.063500127000254
2014,"green",6,0.0381000762001524
2014,"bronze",3,0.0190500381000762
2014,"closed",198,1.25730251460503
2014,"gold",47,0.298450596901194
2014,"hybrid",25,0.158750317500635
2014,"green",23,0.146050292100584
2014,"bronze",12,0.0762001524003048
2014,"closed",148,0.939801879603759
2014,"gold",70,0.444500889001778
2014,"hybrid",41,0.260350520701041
2014,"green",25,0.158750317500635
2014,"bronze",13,0.0825501651003302
2014,"closed",123,0.781051562103124
2014,"gold",58,0.368300736601473
2014,"hybrid",40,0.254000508001016
2014,"green",21,0.133350266700533
2014,"bronze",9,0.0571501143002286
2014,"closed",177,1.1239522479045
2014,"gold",63,0.4000508001016
2014,"hybrid",35,0.222250444500889
2014,"green",16,0.101600203200406
2014,"bronze",10,0.063500127000254
2014,"closed",60,0.381000762001524
2014,"gold",31,0.196850393700787
2014,"hybrid",14,0.0889001778003556
2014,"green",4,0.0254000508001016
2014,"bronze",3,0.0190500381000762
2014,"closed",0,0
2014,"gold",0,0
2014,"hybrid",0,0
2014,"green",0,0
2014,"bronze",0,0
2014,"closed",39,0.247650495300991
2014,"gold",13,0.0825501651003302
2014,"hybrid",10,0.063500127000254
2014,"green",4,0.0254000508001016
2014,"bronze",0,0
2014,"closed",18,0.114300228600457
2014,"gold",11,0.0698501397002794
2014,"hybrid",3,0.0190500381000762
2014,"green",2,0.0127000254000508
2014,"bronze",1,0.0063500127000254
2015,"closed",2841,17.3676488568285
2015,"gold",559,3.41728817703876
2015,"hybrid",551,3.36838244284142
2015,"green",379,2.31690915759873
2015,"bronze",215,1.31434160655337
2015,"closed",682,4.16921384032278
2015,"gold",148,0.904756082650691
2015,"hybrid",137,0.837510698129356
2015,"green",90,0.550189509720015
2015,"bronze",35,0.213962587113339
2015,"closed",580,3.54566572930676
2015,"gold",170,1.03924685169336
2015,"hybrid",118,0.721359579410686
2015,"green",77,0.470717691649346
2015,"bronze",29,0.177283286465338
2015,"closed",1024,6.25993397725883
2015,"gold",175,1.0698129355667
2015,"hybrid",175,1.0698129355667
2015,"green",155,0.947548600073359
2015,"bronze",77,0.470717691649346
2015,"closed",1080,6.60227411664018
2015,"gold",182,1.11260545298936
2015,"hybrid",178,1.0881525858907
2015,"green",147,0.898642865876024
2015,"bronze",47,0.287321188409341
2015,"closed",776,4.74385621714146
2015,"gold",218,1.33268125687737
2015,"hybrid",157,0.959775033622692
2015,"green",126,0.770265313608021
2015,"bronze",66,0.403472307128011
2015,"closed",197,1.20430370460937
2015,"gold",55,0.336226922606676
2015,"hybrid",48,0.293434405184008
2015,"green",28,0.171170069690671
2015,"bronze",13,0.0794718180706688
2015,"closed",1769,10.8142804743856
2015,"gold",474,2.89766475119208
2015,"hybrid",449,2.74483433182541
2015,"green",227,1.38770020784937
2015,"bronze",155,0.947548600073359
2015,"closed",179,1.09426580266536
2015,"gold",61,0.372906223254677
2015,"hybrid",52,0.317887272282675
2015,"green",50,0.305660838733341
2015,"bronze",38,0.23230223743734
