"year","institution","oa_type","value","pc"
2013,"Victoria University of Wellington","gold",177,11.014312383323
2013,"Victoria University of Wellington","hybrid",167,10.392034847542
2013,"Victoria University of Wellington","green",75,4.66708151835719
2013,"Victoria University of Wellington","bronze",27,1.68014934660859
2013,"University of Canterbury","closed",903,63.9065817409766
2013,"University of Canterbury","gold",198,14.0127388535032
2013,"University of Canterbury","hybrid",145,10.2618542108988
2013,"University of Canterbury","green",113,7.99716914366596
2013,"University of Canterbury","bronze",54,3.82165605095541
2013,"Lincoln University","closed",223,61.6022099447514
2013,"Lincoln University","gold",58,16.0220994475138
2013,"Lincoln University","hybrid",36,9.94475138121547
2013,"Lincoln University","green",32,8.83977900552486
2013,"Lincoln University","bronze",13,3.59116022099448
2013,"University of Otago","closed",1667,61.5583456425406
2013,"University of Otago","gold",375,13.8478581979321
2013,"University of Otago","hybrid",336,12.4076809453471
2013,"University of Otago","green",213,7.86558345642541
2013,"University of Otago","bronze",117,4.3205317577548
2013,"AgResearch","closed",209,58.7078651685393
2013,"AgResearch","gold",61,17.1348314606742
2013,"AgResearch","hybrid",46,12.9213483146067
2013,"AgResearch","green",32,8.98876404494382
2013,"AgResearch","bronze",8,2.24719101123596
2013,"ESR","closed",49,52.6881720430108
2013,"ESR","gold",17,18.2795698924731
2013,"ESR","hybrid",15,16.1290322580645
2013,"ESR","green",6,6.45161290322581
2013,"ESR","bronze",6,6.45161290322581
2013,"GNS","closed",149,67.7272727272727
2013,"GNS","gold",29,13.1818181818182
2013,"GNS","hybrid",21,9.54545454545455
2013,"GNS","green",13,5.90909090909091
2013,"GNS","bronze",8,3.63636363636364
2013,"Landcare Research","closed",162,61.5969581749049
2013,"Landcare Research","gold",38,14.4486692015209
2013,"Landcare Research","hybrid",33,12.5475285171103
2013,"Landcare Research","green",24,9.1254752851711
2013,"Landcare Research","bronze",6,2.28136882129278
2013,"NIWA","closed",138,49.4623655913978
2013,"NIWA","gold",58,20.7885304659498
2013,"NIWA","hybrid",45,16.1290322580645
2013,"NIWA","green",28,10.0358422939068
2013,"NIWA","bronze",10,3.584229390681
2013,"Plant & Food Research","closed",172,57.1428571428571
2013,"Plant & Food Research","gold",78,25.9136212624585
2013,"Plant & Food Research","hybrid",37,12.2923588039867
2013,"Plant & Food Research","green",9,2.99003322259136
2013,"Plant & Food Research","bronze",5,1.66112956810631
2013,"Scion","closed",67,59.8214285714286
2013,"Scion","gold",21,18.75
2013,"Scion","hybrid",11,9.82142857142857
2013,"Scion","green",7,6.25
2013,"Scion","bronze",6,5.35714285714286
2013,"Te Pūkenga","closed",0,NA
2013,"Te Pūkenga","gold",0,NA
2013,"Te Pūkenga","hybrid",0,NA
2013,"Te Pūkenga","green",0,NA
2013,"Te Pūkenga","bronze",0,NA
2013,"Cawthron Institute","closed",35,61.4035087719298
2013,"Cawthron Institute","gold",12,21.0526315789474
2013,"Cawthron Institute","hybrid",6,10.5263157894737
2013,"Cawthron Institute","green",4,7.01754385964912
2013,"Cawthron Institute","bronze",0,0
2013,"Malaghan Institute","closed",17,58.6206896551724
2013,"Malaghan Institute","gold",6,20.6896551724138
2013,"Malaghan Institute","hybrid",3,10.3448275862069
2013,"Malaghan Institute","green",2,6.89655172413793
2013,"Malaghan Institute","bronze",1,3.44827586206897
2014,"University of Auckland","closed",2869,65.0566893424036
2014,"University of Auckland","gold",500,11.3378684807256
2014,"University of Auckland","hybrid",488,11.0657596371882
2014,"University of Auckland","green",384,8.70748299319728
2014,"University of Auckland","bronze",169,3.83219954648526
2014,"Auckland University of Technology","closed",538,61.4155251141553
2014,"Auckland University of Technology","gold",132,15.0684931506849
2014,"Auckland University of Technology","hybrid",101,11.5296803652968
2014,"Auckland University of Technology","green",80,9.1324200913242
2014,"Auckland University of Technology","bronze",25,2.85388127853881
2014,"University of Waikato","closed",575,62.636165577342
2014,"University of Waikato","gold",162,17.6470588235294
2014,"University of Waikato","hybrid",99,10.7843137254902
2014,"University of Waikato","green",62,6.75381263616558
2014,"University of Waikato","bronze",20,2.17864923747277
2014,"Massey University","closed",1034,66.4097623635196
2014,"Massey University","gold",172,11.0468850353243
2014,"Massey University","hybrid",151,9.69813744380218
2014,"Massey University","green",134,8.6062941554271
2014,"Massey University","bronze",66,4.23892100192678
2014,"Victoria University of Wellington","closed",1073,71.4380825565912
2014,"Victoria University of Wellington","gold",153,10.1864181091877
2014,"Victoria University of Wellington","hybrid",144,9.58721704394141
2014,"Victoria University of Wellington","green",105,6.99067909454061
2014,"Victoria University of Wellington","bronze",27,1.79760319573901
2014,"University of Canterbury","closed",911,65.2111667859699
2014,"University of Canterbury","gold",172,12.3120973514674
2014,"University of Canterbury","hybrid",152,10.8804581245526
2014,"University of Canterbury","green",109,7.80243378668576
2014,"University of Canterbury","bronze",53,3.79384395132427
2014,"Lincoln University","closed",215,60.9065155807365
2014,"Lincoln University","gold",63,17.8470254957507
2014,"Lincoln University","hybrid",36,10.1983002832861
2014,"Lincoln University","green",25,7.08215297450425
2014,"Lincoln University","bronze",14,3.96600566572238
2014,"University of Otago","closed",1770,61.0976872626855
2014,"University of Otago","gold",391,13.4967207455989
2014,"University of Otago","hybrid",388,13.3931653434588
2014,"University of Otago","green",221,7.62858129099068
2014,"University of Otago","bronze",127,4.38384535726614
2014,"AgResearch","closed",218,56.0411311053985
2014,"AgResearch","gold",76,19.5372750642674
