"year","institution","country","key","count","pc"
2013,"Auckland University of Technology","nz","diamond",20,2.29357798165138
2013,"Auckland University of Technology","nz","hybrid",17,1.94954128440367
2013,"University of Waikato","nz","closed",629,67.8532901833873
2013,"University of Waikato","nz","green",113,12.1898597626753
2013,"University of Waikato","nz","bronze",103,11.1111111111111
2013,"University of Waikato","nz","diamond",32,3.45199568500539
2013,"University of Waikato","nz","hybrid",26,2.80474649406688
2013,"University of Waikato","nz","gold",24,2.58899676375405
2013,"Massey University","nz","closed",996,69.4076655052265
2013,"Massey University","nz","bronze",167,11.6376306620209
2013,"Massey University","nz","gold",111,7.73519163763066
2013,"Massey University","nz","green",102,7.10801393728223
2013,"Massey University","nz","hybrid",30,2.09059233449477
2013,"Massey University","nz","diamond",29,2.02090592334495
2013,"Victoria University of Wellington","nz","closed",1136,73.1958762886598
2013,"Victoria University of Wellington","nz","bronze",164,10.5670103092784
2013,"Victoria University of Wellington","nz","green",153,9.85824742268041
2013,"Victoria University of Wellington","nz","gold",64,4.12371134020619
2013,"Victoria University of Wellington","nz","hybrid",25,1.61082474226804
2013,"Victoria University of Wellington","nz","diamond",10,0.644329896907216
2013,"University of Canterbury","nz","closed",962,67.9378531073446
2013,"University of Canterbury","nz","bronze",159,11.228813559322
2013,"University of Canterbury","nz","green",131,9.25141242937853
2013,"University of Canterbury","nz","gold",92,6.49717514124294
2013,"University of Canterbury","nz","hybrid",51,3.60169491525424
2013,"University of Canterbury","nz","diamond",21,1.48305084745763
2013,"Lincoln University","nz","closed",219,64.4117647058824
2013,"Lincoln University","nz","bronze",58,17.0588235294118
2013,"Lincoln University","nz","gold",28,8.23529411764706
2013,"Lincoln University","nz","green",26,7.64705882352941
2013,"Lincoln University","nz","hybrid",7,2.05882352941176
2013,"Lincoln University","nz","diamond",2,0.588235294117647
2013,"University of Otago","nz","closed",1568,63.3279483037157
2013,"University of Otago","nz","bronze",344,13.8933764135703
2013,"University of Otago","nz","gold",266,10.7431340872375
2013,"University of Otago","nz","green",181,7.31017770597738
2013,"University of Otago","nz","hybrid",74,2.98869143780291
2013,"University of Otago","nz","diamond",43,1.73667205169628
2013,"University of Melbourne","au","closed",4979,58.4870198519911
2013,"University of Melbourne","au","bronze",1223,14.3662633619171
2013,"University of Melbourne","au","green",1033,12.1343827087983
2013,"University of Melbourne","au","gold",918,10.7835075766475
2013,"University of Melbourne","au","hybrid",297,3.48878186303301
2013,"University of Melbourne","au","diamond",63,0.740044637613062
2013,"Australian National University","au","closed",2989,61.224907824662
2013,"Australian National University","au","green",714,14.6251536255633
2013,"Australian National University","au","bronze",628,12.8635804997952
2013,"Australian National University","au","gold",378,7.7427283900041
2013,"Australian National University","au","hybrid",127,2.60139287177386
2013,"Australian National University","au","diamond",46,0.942236788201557
2013,"University of Sydney","au","closed",5652,62.5844314029454
2013,"University of Sydney","au","bronze",1218,13.4868785295095
2013,"University of Sydney","au","gold",908,10.0542575573026
2013,"University of Sydney","au","green",840,9.30129553759274
2013,"University of Sydney","au","hybrid",319,3.53227771010962
2013,"University of Sydney","au","diamond",94,1.04085926254014
2013,"University of Queensland","au","closed",5186,64.9630464737567
2013,"University of Queensland","au","bronze",885,11.0860578729801
2013,"University of Queensland","au","gold",846,10.597519729425
2013,"University of Queensland","au","green",758,9.49517725165978
2013,"University of Queensland","au","hybrid",242,3.03144181385444
2013,"University of Queensland","au","diamond",66,0.826756858323938
2013,"University of Western Australia","au","closed",2388,56.440557787757
2013,"University of Western Australia","au","bronze",669,15.8118648073741
2013,"University of Western Australia","au","green",518,12.242968565351
2013,"University of Western Australia","au","gold",456,10.7775939494209
2013,"University of Western Australia","au","hybrid",162,3.82888206097849
2013,"University of Western Australia","au","diamond",38,0.898132829118412
2013,"University of Adelaide","au","closed",2427,62.8756476683938
2013,"University of Adelaide","au","bronze",523,13.5492227979275
2013,"University of Adelaide","au","green",377,9.76683937823834
2013,"University of Adelaide","au","gold",357,9.24870466321244
2013,"University of Adelaide","au","hybrid",142,3.67875647668394
2013,"University of Adelaide","au","diamond",34,0.880829015544041
2013,"Monash University","au","closed",4583,64.8507145889345
2013,"Monash University","au","bronze",1031,14.5889344842224
2013,"Monash University","au","gold",594,8.4052639026461
2013,"Monash University","au","green",589,8.3345125229942
2013,"Monash University","au","hybrid",219,3.09891042875336
2013,"Monash University","au","diamond",51,0.721664072449413
2013,"UNSW Sydney","au","closed",5190,66.9850283944244
2013,"UNSW Sydney","au","bronze",829,10.6995353639649
2013,"UNSW Sydney","au","green",739,9.53794527620031
2013,"UNSW Sydney","au","gold",709,9.15074858027878
2013,"UNSW Sydney","au","hybrid",217,2.80072276716572
