"year","institution","abbrev","country","key","count","pc"
2017,"University of Canterbury","UC","nz","green",212,14.0118968935889
2017,"University of Canterbury","UC","nz","gold",186,12.2934567085261
2017,"University of Canterbury","UC","nz","bronze",136,8.98876404494382
2017,"University of Canterbury","UC","nz","hybrid",95,6.27891606080634
2017,"University of Canterbury","UC","nz","diamond",34,2.24719101123596
2017,"Auckland University of Technology","AUT","nz","closed",827,61.1686390532544
2017,"Auckland University of Technology","AUT","nz","green",188,13.905325443787
2017,"Auckland University of Technology","AUT","nz","gold",159,11.7603550295858
2017,"Auckland University of Technology","AUT","nz","bronze",91,6.73076923076923
2017,"Auckland University of Technology","AUT","nz","hybrid",50,3.69822485207101
2017,"Auckland University of Technology","AUT","nz","diamond",37,2.73668639053254
2017,"University of Waikato","UOW","nz","closed",1341,70.2094240837696
2017,"University of Waikato","UOW","nz","green",241,12.6178010471204
2017,"University of Waikato","UOW","nz","gold",109,5.70680628272251
2017,"University of Waikato","UOW","nz","bronze",92,4.81675392670157
2017,"University of Waikato","UOW","nz","hybrid",64,3.35078534031414
2017,"University of Waikato","UOW","nz","diamond",63,3.29842931937173
2017,"Lincoln University","LU","nz","closed",258,57.9775280898876
2017,"Lincoln University","LU","nz","gold",62,13.9325842696629
2017,"Lincoln University","LU","nz","bronze",49,11.0112359550562
2017,"Lincoln University","LU","nz","hybrid",34,7.64044943820225
2017,"Lincoln University","LU","nz","green",31,6.96629213483146
2017,"Lincoln University","LU","nz","diamond",11,2.47191011235955
2018,"UNSW Sydney","UNSWS","au","closed",5176,53.0817352066455
2018,"UNSW Sydney","UNSWS","au","green",1498,15.3625269203159
2018,"UNSW Sydney","UNSWS","au","gold",1361,13.9575428161214
2018,"UNSW Sydney","UNSWS","au","bronze",1150,11.7936621884935
2018,"UNSW Sydney","UNSWS","au","hybrid",402,4.12265408676033
2018,"UNSW Sydney","UNSWS","au","diamond",164,1.68187878166342
2018,"The University of Melbourne","UM","au","closed",5315,46.4516692885859
2018,"The University of Melbourne","UM","au","gold",1838,16.0636252403426
2018,"The University of Melbourne","UM","au","green",1835,16.0374060478937
2018,"The University of Melbourne","UM","au","bronze",1571,13.7301171123929
2018,"The University of Melbourne","UM","au","hybrid",670,5.85561964691488
2018,"The University of Melbourne","UM","au","diamond",213,1.86156266386995
2018,"The University of Sydney","US","au","closed",5849,52.251206003216
2018,"The University of Sydney","US","au","bronze",1679,14.9991066642844
2018,"The University of Sydney","US","au","gold",1662,14.8472395926389
2018,"The University of Sydney","US","au","green",1331,11.890298374129
2018,"The University of Sydney","US","au","hybrid",503,4.4934786492764
2018,"The University of Sydney","US","au","diamond",170,1.51867071645524
2018,"The University of Queensland","UQ","au","closed",5178,53.5415158721952
2018,"The University of Queensland","UQ","au","gold",1545,15.9755971461069
2018,"The University of Queensland","UQ","au","bronze",1207,12.4806121393858
2018,"The University of Queensland","UQ","au","green",1136,11.7464584841278
2018,"The University of Queensland","UQ","au","hybrid",433,4.47730327784097
2018,"The University of Queensland","UQ","au","diamond",172,1.77851308034329
2018,"The University of Western Australia","UWA","au","closed",2652,48.2181818181818
2018,"The University of Western Australia","UWA","au","green",869,15.8
2018,"The University of Western Australia","UWA","au","gold",853,15.5090909090909
2018,"The University of Western Australia","UWA","au","bronze",784,14.2545454545455
2018,"The University of Western Australia","UWA","au","hybrid",254,4.61818181818182
2018,"The University of Western Australia","UWA","au","diamond",88,1.6
2018,"Monash University","MAU","au","closed",5165,51.7379545226886
2018,"Monash University","MAU","au","green",1434,14.3644195131724
2018,"Monash University","MAU","au","bronze",1418,14.204147049985
2018,"Monash University","MAU","au","gold",1370,13.7233296604227
2018,"Monash University","MAU","au","hybrid",444,4.44756085345087
2018,"Monash University","MAU","au","diamond",152,1.52258840028048
2018,"The University of Adelaide","UA","au","closed",2568,53.8364779874214
2018,"The University of Adelaide","UA","au","gold",709,14.8637316561845
2018,"The University of Adelaide","UA","au","bronze",638,13.3752620545073
2018,"The University of Adelaide","UA","au","green",534,11.1949685534591
2018,"The University of Adelaide","UA","au","hybrid",210,4.40251572327044
2018,"The University of Adelaide","UA","au","diamond",111,2.32704402515723
2018,"Australian National University","ANU","au","closed",2655,48.0717001629549
2018,"Australian National University","ANU","au","green",1084,19.6270143038204
2018,"Australian National University","ANU","au","bronze",824,14.9194278471845
2018,"Australian National University","ANU","au","gold",594,10.7550244432374
2018,"Australian National University","ANU","au","hybrid",245,4.43599493029151
2018,"Australian National University","ANU","au","diamond",121,2.19083831251132
2018,"University of Auckland","UOA","nz","closed",2788,56.482982171799
2018,"University of Auckland","UOA","nz","gold",673,13.6345218800648
2018,"University of Auckland","UOA","nz","green",612,12.3987034035656
2018,"University of Auckland","UOA","nz","bronze",564,11.4262560777958
2018,"University of Auckland","UOA","nz","hybrid",204,4.13290113452188
2018,"University of Auckland","UOA","nz","diamond",95,1.92463533225284
2018,"University of Otago","UO","nz","closed",1730,53.8940809968847
2018,"University of Otago","UO","nz","gold",548,17.0716510903427
2018,"University of Otago","UO","nz","bronze",427,13.3021806853583
2018,"University of Otago","UO","nz","green",315,9.81308411214953
2018,"University of Otago","UO","nz","hybrid",123,3.83177570093458
2018,"University of Otago","UO","nz","diamond",67,2.08722741433022
