"institution_name","publication_year","oa_status","count","percent"
"The University of Sydney",2025,"closed",4156,0.3234
"The University of Sydney",2025,"diamond",788,0.0613
"The University of Sydney",2025,"gold",3045,0.237
"The University of Sydney",2025,"green",643,0.05
"The University of Sydney",2025,"hybrid",3461,0.2693
"The University of Sydney",2026,"bronze",170,0.0254
"The University of Sydney",2026,"closed",1874,0.2799
"The University of Sydney",2026,"diamond",374,0.0559
"The University of Sydney",2026,"gold",1655,0.2472
"The University of Sydney",2026,"green",474,0.0708
"The University of Sydney",2026,"hybrid",2148,0.3208
"The University of Western Australia",2021,"bronze",563,0.0917
"The University of Western Australia",2021,"closed",2292,0.3734
"The University of Western Australia",2021,"diamond",229,0.0373
"The University of Western Australia",2021,"gold",1353,0.2204
"The University of Western Australia",2021,"green",1250,0.2036
"The University of Western Australia",2021,"hybrid",451,0.0735
"The University of Western Australia",2022,"bronze",419,0.0734
"The University of Western Australia",2022,"closed",2020,0.3539
"The University of Western Australia",2022,"diamond",219,0.0384
"The University of Western Australia",2022,"gold",1388,0.2432
"The University of Western Australia",2022,"green",761,0.1333
"The University of Western Australia",2022,"hybrid",901,0.1578
"The University of Western Australia",2023,"bronze",460,0.0804
"The University of Western Australia",2023,"closed",1730,0.3024
"The University of Western Australia",2023,"diamond",257,0.0449
"The University of Western Australia",2023,"gold",1384,0.242
"The University of Western Australia",2023,"green",447,0.0781
"The University of Western Australia",2023,"hybrid",1442,0.2521
"The University of Western Australia",2024,"bronze",433,0.0778
"The University of Western Australia",2024,"closed",1556,0.2796
"The University of Western Australia",2024,"diamond",313,0.0562
"The University of Western Australia",2024,"gold",1421,0.2553
"The University of Western Australia",2024,"green",345,0.062
"The University of Western Australia",2024,"hybrid",1497,0.269
"The University of Western Australia",2025,"bronze",293,0.0551
"The University of Western Australia",2025,"closed",1628,0.306
"The University of Western Australia",2025,"diamond",288,0.0541
"The University of Western Australia",2025,"gold",1343,0.2524
"The University of Western Australia",2025,"green",344,0.0646
"The University of Western Australia",2025,"hybrid",1425,0.2678
"The University of Western Australia",2026,"bronze",64,0.0224
"The University of Western Australia",2026,"closed",820,0.2869
"The University of Western Australia",2026,"diamond",148,0.0518
"The University of Western Australia",2026,"gold",719,0.2516
"The University of Western Australia",2026,"green",185,0.0647
"The University of Western Australia",2026,"hybrid",922,0.3226
"UNSW Sydney",2021,"bronze",1075,0.0943
"UNSW Sydney",2021,"closed",4413,0.3872
"UNSW Sydney",2021,"diamond",470,0.0412
"UNSW Sydney",2021,"gold",2674,0.2346
"UNSW Sydney",2021,"green",1948,0.1709
"UNSW Sydney",2021,"hybrid",818,0.0718
